subject_id,lab_subject_id,age,sex
86,071812_11,3.35,NA
87,071812_14,1.48,Male
88,071812_16,1.86,Male
89,071812_17,3.78,Male
90,071812_18,3.84,Female
91,071912_01,1.53,Female
92,071912_02,1.37,Female
93,071912_03,4.51,Female
94,071912_04,2.34,Female
95,072312_01,2.07,Female
96,072312_02,2.82,Male
97,072312_03,2,Male
98,072312_04,3.18,Male
99,072312_05,2.05,Male
100,072312_06,1.64,Female
101,072312_07,3.59,Female
102,072312_08,NA,Female
103,072412_01,3.12,Female
104,072412_02,4.16,Male
105,072412_03,2.67,Female
106,072412_04,3.19,Female
107,072412_05,4.68,Female
108,072412_06,3.01,Female
109,072412_07,3.05,Female
110,072512_02,1.19,Male
111,072512_03,2.53,Male
112,072512_04,1.74,Male
113,072512_05,4.22,Male
114,072512_06,4.69,Male
115,072512_07,3.24,Male
116,072512_08,2.78,Male
117,072512_09,2.94,Female
118,072512_10,4.5,Female
119,072512_11,1.91,Female
120,072512_12,4.2,Male
121,072512_15,0.92,Male
122,072512_17,1.41,Male
123,072512_18,2.04,Female
124,072512_19,1.25,Male
125,072612_02,1.8,Male
126,072612_03,2.22,Male
127,072612_05,4.75,Female
128,072612_06,4.33,Female
129,072612_07,3.03,Female
130,073012_01,2.62,Male
131,073012_03,4.23,NA
132,073012_04,4.14,Male
133,073012_05,2.2,Female
134,073012_06,4.59,Male
135,073012_07,3.08,Male
136,073012_08,3.36,Male
137,073012_09,4.19,Male
138,073012_10,3.65,Female
139,073112_01,3.54,Female
140,073112_02,4.5,Female
141,073112_03,3.12,Male
142,073112_06,2.55,Female
143,080112_01,3.68,Male
144,080112_02,3.34,Female
145,080112_03,3.61,Male
146,080112_04,3.8,Female
147,080112_05,1.07,Male
148,080112_06,1.09,Male
149,080112_07,2.91,Male
150,080212_01,3.87,Male
151,080212_02,3.42,Male
152,080212_03,3.56,Male
153,080212_04,2.73,Male
154,080212_05,2.96,Male
155,080212_06,4.61,Female
156,080212_07,3.92,Male
157,080212_08,2.35,Female
158,080212_09,2.34,Female
159,080212_10,4.01,Male
160,080212_11,4.08,Female
161,080212_12,4.24,Female
162,080612_01,1.33,Male
163,080612_02,4.22,Female
164,080612_04,2.77,Female
165,080612_05,4.16,Male
166,080612_06,4.06,Female
167,080612_07,2.41,Male
168,080612_08,2.43,Male
169,080612_09,1.33,Female
170,080612_10,0.74,Female
171,080612_11,2.56,Male
172,080612_12,4.31,Male
173,080612_13,3.59,Female
174,080612_14,2.18,Male
175,080612_15,3.63,Female
176,080612_16,3.49,Male
177,080612_17,2.43,Male
178,080612_18,4.38,Female
179,080612_19,3.78,Male
180,080712_01,3.64,Male
181,080712_02,3.05,Male
182,080712_04,NA,NA
183,080712_07,2.33,Male
184,080712_08,2.33,Female
185,080712_10,3.3,Male
186,080712_12,4.79,Female
187,080812_03,3.02,Male
188,080812_04,1.42,Male
189,080812_05,3.67,Male
190,080812_06,2.88,Male
191,080812_08,3.76,Female
192,080812_09,3.42,Female
193,080912_01,1.82,Female
194,080912_02,3.59,Male
195,080912_03,2.15,Male
196,080912_04,2.93,Male
197,080912_05,2.88,Female
198,080912_06,2.98,Male
199,080912_07,1.93,Male
200,080912_08,4.94,Male
201,080912_09,1.36,Female
202,080912_10,1.36,Female
203,080912_11,3.93,Female
204,080912_12,2.87,Male
205,080912_13,3.4,Male
206,080912_14,3.42,Female
207,080912_15,4.38,Male
208,080912_16,4.73,Female
209,081312_,3.72,Female
210,081312_01,1.85,Female
211,081312_02,2.29,Female
212,081312_03,1.95,Female
213,081312_05,2.91,Female
214,081312_06,1.09,Male
215,081312_07,2.8,Female
216,081312_08,1.15,Female
217,081312_09,4.56,Female
218,081312_11,1.34,Male
219,081312_14,1.16,Male
220,081312_15,4,Male
221,081312_17,1.91,Male
222,081412_01,4.84,Female
223,081412_02,2.36,Female
224,081412_03,3.86,Female
225,081412_04,2.3,Female
226,081412_05,4.71,Female
227,081412_06,1.6,Female
228,081412_08,2.46,Female
229,081412_09,1.63,Female
230,081412_10,2.45,Male
231,081512_01,4.14,Female
232,081512_02,2.66,Female
233,081512_03,2.51,Male
234,081512_05,4.57,Female
235,081512_06,2.25,Female
236,081512_07,4.13,Female
237,081512_09,1.15,Male
238,081512_10,3.18,Female
239,081512_13,3.9,Male
240,081512_14,3.08,Female
241,081512_15,4.95,Female
242,081512_16,2.88,Female
243,081512_17,3.62,Female
244,081512_18,2.55,Male
245,081612_01,1.84,Female
246,081612_02,2.37,Female
247,081612_03,4.3,Female
248,081612_04,2.87,Female
249,081612_05,3.13,Female
250,081612_06,3.69,Female
251,081612_07,4.04,Male
252,081612_08,1.95,Female
253,081612_09,2.85,Male
254,081612_10,4.04,Female
255,081612_11,3.36,Male
256,081612_12,2.42,Female
257,081612_13,3.56,Female
258,081612_14,1.76,Female
