sub_id,x,y,t,trial_id
052212_2,NA,NA,17358.551,1
052212_2,NA,NA,17408.546,1
052212_2,NA,NA,17458.685,1
052212_2,NA,NA,17508.653,1
052212_2,NA,NA,17558.69,1
052212_2,NA,NA,17608.685,1
052212_2,NA,NA,17658.984,1
052212_2,NA,NA,17708.867,1
052212_2,NA,NA,17758.857,1
052212_2,NA,NA,17809.511,1
052212_2,NA,NA,17858.809,1
052212_2,NA,NA,17908.808,1
052212_2,NA,NA,17958.998,1
052212_2,NA,NA,18009.538,1
052212_2,NA,NA,18059.087,1
052212_2,NA,NA,18109.041,1
052212_2,NA,NA,18158.952,1
052212_2,NA,NA,18209.104,1
052212_2,NA,NA,18259.07,1
052212_2,NA,NA,18309.034,1
052212_2,NA,NA,18359.085,1
052212_2,NA,NA,18409.142,1
052212_2,NA,NA,18459.473,1
052212_2,NA,NA,18509.62,1
052212_2,NA,NA,18559.171,1
052212_2,NA,NA,18609.712,1
052212_2,NA,NA,18659.303,1
052212_2,NA,NA,18709.45,1
052212_2,NA,NA,18759.374,1
052212_2,NA,NA,18809.483,1
052212_2,NA,NA,18859.646,1
052212_2,NA,NA,18909.489,1
052212_2,NA,NA,18959.487,1
052212_2,NA,NA,19009.442,1
052212_2,NA,NA,19059.412,1
052212_2,NA,NA,19109.375,1
052212_2,NA,NA,19159.575,1
052212_2,NA,NA,19209.519,1
052212_2,NA,NA,19259.682,1
052212_2,NA,NA,19309.631,1
052212_2,NA,NA,19359.541,1
052212_2,NA,NA,19409.634,1
052212_2,NA,NA,19459.656,1
052212_2,NA,NA,19509.676,1
052212_2,NA,NA,19559.658,1
052212_2,NA,NA,19609.752,1
052212_2,NA,NA,19659.999,1
052212_2,NA,NA,19709.927,1
052212_2,NA,NA,19759.753,1
052212_2,NA,NA,19809.771,1
052212_2,NA,NA,19859.743,1
052212_2,NA,NA,19909.844,1
052212_2,NA,NA,19959.882,1
052212_2,NA,NA,20010.144,1
052212_2,NA,NA,20059.954,1
052212_2,NA,NA,20110.139,1
052212_2,NA,NA,20159.988,1
052212_2,NA,NA,20210.029,1
052212_2,NA,NA,20260.011,1
052212_2,NA,NA,20310.027,1
052212_2,NA,NA,20360.033,1
052212_2,NA,NA,20410.143,1
052212_2,NA,NA,20460.287,1
052212_2,NA,NA,20510.25,1
052212_2,NA,NA,20560.201,1
052212_2,NA,NA,20610.159,1
052212_2,NA,NA,20660.24,1
052212_2,NA,NA,20710.234,1
052212_2,NA,NA,20760.298,1
052212_2,NA,NA,20810.29,1
052212_2,NA,NA,20860.273,1
052212_2,NA,NA,20910.759,1
052212_2,NA,NA,20960.481,1
052212_2,NA,NA,21010.402,1
052212_2,NA,NA,21060.455,1
052212_2,NA,NA,21110.799,1
052212_2,NA,NA,21160.508,1
052212_2,NA,NA,21210.512,1
052212_2,NA,NA,21260.561,1
052212_2,NA,NA,21311.074,1
052212_2,NA,NA,21360.662,1
052212_2,NA,NA,21410.635,1
052212_2,NA,NA,21460.646,1
052212_2,NA,NA,21510.598,1
052212_2,NA,NA,21560.822,1
052212_2,NA,NA,21610.643,1
052212_2,NA,NA,21660.753,1
052212_2,NA,NA,21711.124,1
052212_2,NA,NA,21760.749,1
052212_2,NA,NA,21810.704,1
052212_2,NA,NA,21860.788,1
052212_2,NA,NA,21910.862,1
052212_2,NA,NA,21960.954,1
052212_2,NA,NA,22010.876,1
052212_2,NA,NA,22060.885,1
052212_2,NA,NA,22110.997,1
052212_2,NA,NA,22161.012,1
052212_2,NA,NA,22211.029,1
052212_2,NA,NA,22261.003,1
052212_2,NA,NA,22310.954,1
052212_2,NA,NA,22361.057,1
052212_2,NA,NA,22411.758,1
052212_2,NA,NA,22461.121,1
052212_2,NA,NA,22511.137,1
052212_2,NA,NA,22561.125,1
052212_2,NA,NA,22611.268,1
052212_2,NA,NA,22661.206,1
052212_2,NA,NA,22711.247,1
052212_2,NA,NA,22761.314,1
052212_2,NA,NA,22811.255,1
052212_2,NA,NA,22861.452,1
052212_2,NA,NA,22911.355,1
052212_2,NA,NA,22961.383,1
052212_2,NA,NA,23011.375,1
052212_2,NA,NA,23061.348,1
052212_2,NA,NA,23111.329,1
052212_2,NA,NA,23161.445,1
052212_2,NA,NA,23211.489,1
052212_2,NA,NA,23261.472,1
052212_2,NA,NA,23311.465,1
052212_2,NA,NA,23361.573,1
052212_2,NA,NA,23411.583,1
052212_2,NA,NA,23461.59,1
052212_2,NA,NA,23511.708,1
052212_2,NA,NA,23561.576,1
052212_2,NA,NA,23611.689,1
052212_2,NA,NA,23661.746,1
052212_2,NA,NA,23711.69,1
052212_2,NA,NA,23761.711,1
052212_2,NA,NA,23812.247,1
052212_2,NA,NA,23861.91,1
052212_2,NA,NA,23911.861,1
052212_2,NA,NA,23962.021,1
052212_2,NA,NA,24011.88,1
052212_2,NA,NA,24061.879,1
052212_2,NA,NA,24111.978,1
052212_2,NA,NA,24162.006,1
052212_2,NA,NA,24211.969,1
052212_2,NA,NA,24261.998,1
052212_2,NA,NA,24311.963,1
052212_2,NA,NA,24362.15,1
052212_2,NA,NA,24412.097,1
052212_2,NA,NA,24462.088,1
052212_2,NA,NA,24512.798,1
052212_2,NA,NA,24562.117,1
052212_2,NA,NA,24612.196,1
052212_2,NA,NA,24662.189,1
052212_2,NA,NA,24712.153,1
052212_2,NA,NA,24762.437,1
052212_2,NA,NA,24812.229,1
052212_2,NA,NA,24862.341,1
052212_2,NA,NA,24912.353,1
052212_2,NA,NA,24962.365,1
052212_2,NA,NA,25012.441,1
052212_2,NA,NA,25062.354,1
052212_2,NA,NA,25112.356,1
052212_2,NA,NA,25185.308,1
052212_2,NA,NA,25193.487,1
052212_2,NA,NA,25201.803,1
052212_2,NA,NA,25210.11,1
052212_2,NA,NA,25218.49,1
052212_2,NA,NA,25226.882,1
052212_2,NA,NA,25235.217,1
052212_2,NA,NA,25243.465,1
052212_2,NA,NA,25251.852,1
052212_2,NA,NA,25260.214,1
052212_2,NA,NA,25268.421,1
052212_2,NA,NA,25276.836,1
052212_2,NA,NA,25285.224,1
052212_2,NA,NA,25293.571,1
052212_2,NA,NA,25301.826,1
052212_2,NA,NA,25310.24,1
052212_2,NA,NA,25318.617,1
052212_2,NA,NA,25326.963,1
052212_2,NA,NA,25335.29,1
052212_2,NA,NA,25343.578,1
052212_2,NA,NA,25351.99,1
052212_2,NA,NA,25360.334,1
052212_2,NA,NA,25368.573,1
052212_2,NA,NA,25376.986,1
052212_2,NA,NA,25385.509,1
052212_2,NA,NA,25393.614,1
052212_2,NA,NA,25401.987,1
052212_2,NA,NA,25410.418,1
052212_2,NA,NA,25418.721,1
052212_2,NA,NA,25426.961,1
052212_2,NA,NA,25435.341,1
052212_2,NA,NA,25443.724,1
052212_2,NA,NA,25452.117,1
052212_2,NA,NA,25460.312,1
052212_2,NA,NA,25468.736,1
052212_2,NA,NA,25477.28,1
052212_2,NA,NA,25485.499,1
052212_2,NA,NA,25493.753,1
052212_2,NA,NA,25502.108,1
052212_2,NA,NA,25510.485,1
052212_2,NA,NA,25518.723,1
052212_2,NA,NA,25685.457,1
052212_2,NA,NA,25735.096,1
052212_2,NA,NA,25807.851,1
052212_2,NA,NA,25815.959,1
052212_2,NA,NA,25824.322,1
052212_2,NA,NA,25832.884,1
052212_2,NA,NA,25840.925,1
052212_2,NA,NA,25849.361,1
052212_2,NA,NA,25857.686,1
052212_2,NA,NA,25865.999,1
052212_2,NA,NA,25874.358,1
052212_2,NA,NA,25883.132,1
052212_2,NA,NA,25891.124,1
052212_2,NA,NA,25899.328,1
052212_2,NA,NA,25907.713,1
052212_2,NA,NA,25916.103,1
052212_2,NA,NA,25924.377,1
052212_2,NA,NA,25932.71,1
