"sub_id","t","aoi","trial_id",""
"lmu_child01",1558583468099510,NA,"trial_sequence_A",NA
"lmu_child01",1558583468116629,NA,"trial_sequence_A",NA
"lmu_child01",1558583468132753,NA,"trial_sequence_A",NA
"lmu_child01",1558583468149433,NA,"trial_sequence_A",NA
"lmu_child01",1558583468166099,NA,"trial_sequence_A",NA
"lmu_child01",1558583468182739,NA,"trial_sequence_A",NA
"lmu_child01",1558583468199361,NA,"trial_sequence_A",NA
"lmu_child01",1558583468216027,NA,"trial_sequence_A",NA
"lmu_child01",1558583468232615,NA,"trial_sequence_A",NA
"lmu_child01",1558583468249231,NA,"trial_sequence_A",NA
"lmu_child01",1558583468265897,NA,"trial_sequence_A",NA
"lmu_child01",1558583468282751,NA,"trial_sequence_A",NA
"lmu_child01",1558583468299417,NA,"trial_sequence_A",NA
"lmu_child01",1558583468315947,NA,"trial_sequence_A",NA
"lmu_child01",1558583468332613,NA,"trial_sequence_A",NA
"lmu_child01",1558583468349348,NA,"trial_sequence_A",NA
"lmu_child01",1558583468366014,NA,"trial_sequence_A",NA
"lmu_child01",1558583468382546,NA,"trial_sequence_A",NA
"lmu_child01",1558583468399212,NA,"trial_sequence_A",NA
"lmu_child01",1558583468415698,NA,"trial_sequence_A",NA
"lmu_child01",1558583468432570,NA,"trial_sequence_A",NA
"lmu_child01",1558583468449236,NA,"trial_sequence_A",NA
"lmu_child01",1558583468465961,NA,"trial_sequence_A",NA
"lmu_child01",1558583468482627,NA,"trial_sequence_A",NA
"lmu_child01",1558583468499312,NA,"trial_sequence_A",NA
"lmu_child01",1558583468515932,NA,"trial_sequence_A",NA
"lmu_child01",1558583468532555,NA,"trial_sequence_A",NA
"lmu_child01",1558583468549302,NA,"trial_sequence_A",NA
"lmu_child01",1558583468565924,NA,"trial_sequence_A",NA
"lmu_child01",1558583468582547,NA,"trial_sequence_A",NA
"lmu_child01",1558583468599173,NA,"trial_sequence_A",NA
"lmu_child01",1558583468615793,NA,"trial_sequence_A",NA
"lmu_child01",1558583468632542,NA,"trial_sequence_A",NA
"lmu_child01",1558583468649163,NA,"trial_sequence_A",NA
